title;link;publish_time;summary;publish_date
Election 2024: A guide to key Congressional and gubernatorial races;https://www.yahoo.com/news/election-2024-a-guide-to-key-congressional-and-gubernatorial-races-120100105.html;2024-10-30T12:21:15.000Z;Yahoo News narrows down the key and most competitive Congressional and gubernatorial races to watch on Election Day.;2024-10-30 12:21:15
Can you take a selfie with your ballot on Election Day? Here's a breakdown of state laws.;https://www.yahoo.com/news/can-you-take-a-selfie-with-your-ballot-on-election-day-heres-a-breakdown-of-state-laws-100036306.html;2024-10-29T16:32:15.000Z;As Election Day draws near, many voters may be eager to show that they've completed their civic duty with a ballot selfie. But voter, beware: Here is a list of states that allow, don't allow or have mixed rules on taking images of your marked ballot.;2024-10-29 16:32:15
Dolphins could face Buffalo with depleted secondary;https://news.yahoo.com/news/sports/dolphins-could-face-buffalo-depleted-183317378.html;2024-10-30T18:33:17.000Z;Miami might be forced to play Sunday’s game against Buffalo without both starting safeties;2024-10-30 18:33:17
Impact of climate change on parenting is a new reality | Opinion;https://news.yahoo.com/news/lifestyle/impact-climate-change-parenting-reality-182540446.html;2024-10-30T18:25:40.000Z;As parents, we know well that extreme weather takes a toll on children’s mental well-being | Opinion.;2024-10-30 18:25:40
Mysterious Trump Statue Appears in Philadelphia Park;https://news.yahoo.com/news/mysterious-trump-statue-appears-philadelphia-182233141.html;2024-10-30T18:22:33.000Z;A statue of former president and Republican nominee Donald Trump popped up in a Philadelphia park this morning, featuring commentary on his sexually-degrading comments against women. The statue, which appeared in Maja Park, was placed next to a naked woman statue titled “Maja.” Earlier this week, an indistinguishable copy appeared in Portland, Oregon next to a nude woman sculpture, too. According to PATCH, the about 8-foot-tall statue referenced the widely known Access Hollywood quote from Trump;2024-10-30 18:22:33
Police seek suspect in late-night pistol-whip robbery at Chando’s Tacos in North Sacramento;https://news.yahoo.com/news/police-seek-suspect-night-pistol-181021609.html;2024-10-30T18:10:21.000Z;The suspect robbed the popular Arden Way spot at gunpoint about 9 p.m. Monday, police said.;2024-10-30 18:10:21
Gov. Newsom maintains a discriminatory policy that impacts people with epilepsy | Opinion;https://news.yahoo.com/news/gov-newsom-maintains-discriminatory-policy-180635848.html;2024-10-30T18:06:35.000Z;“There’s no compelling evidence that the discriminatory policy the veto maintains does anything to promote public safety.”;2024-10-30 18:06:35
VideoOTD In Space - October. 30: 1st Flight Of The Lunar Landing Research Vehicle;https://www.yahoo.com/news/otd-space-october-30-1st-180000059.html;2024-10-30T18:00:00.000Z;"On October 30, 1964, NASA's Lunar Landing Research Vehicle, or LLRV, took to the skies for the first time. ‘On This Day in Space’ Video Series on Space.com The LLRV was a bizarre, four-legged flying contraption commonly known as the ""Flying Bedstead."" NASA used it to simulate moon landings and liftoffs on Earth to prepare for Apollo 11. The firast person to give it a whirl was the X-15 pilot Joe Walker. During this test flight, he reached an altitude of about 10 feet, and he hovered there for ab";2024-10-30 18:00:00
Broward teen charged with beating grandmother to death will serve 3 years in juvenile jail;https://news.yahoo.com/news/broward-teen-charged-beating-grandmother-174859455.html;2024-10-30T17:48:59.000Z;After serving the 3-year bid in a juvenile maximum-risk program, the girl will be placed on supervised release until she’s 21.;2024-10-30 17:48:59
Opinion: Here’s How Black Men Have Already Won the 2024 Election;https://news.yahoo.com/news/opinion-black-men-already-won-174853808.html;2024-10-30T17:48:53.000Z;My entire adult life—much of which I’ve spent covering politics—I’ve wondered what it must feel like to be one of those voters candidates try desperately to win over. As a Black woman I’ve never experienced this, because both major parties just assume I’m voting for a Democrat. After this election, however, that may no longer be the case. And that’s thanks to Black men. Before liberal Twitter melts down, yes, I know Democrats have spent billions of dollars targeting Black voters over the years.;2024-10-30 17:48:53
"""Disgraceful"": Experts warn ""wrongheaded"" SCOTUS Virginia voter purge ruling is an ""ominous"" sign";https://news.yahoo.com/news/disgraceful-experts-warn-wrongheaded-scotus-173911788.html;2024-10-30T17:39:11.000Z;Ruling suggests SCOTUS conservatives could interference in election, warns Harvard legal scholar Laurence Tribe;2024-10-30 17:39:11
I travel with my mom every year. We've been around the world, but one activity is the glue to our trips.;https://news.yahoo.com/news/travel-mom-every-weve-around-173802494.html;2024-10-30T17:38:02.000Z;My mom and I take a trip to a different food festival every year. These festivals have taken us all over the world and immersed us in new cultures.;2024-10-30 17:38:02
Vice President Kamala Harris to hold rally in Reno as Election Day approaches;https://news.yahoo.com/news/vice-president-kamala-harris-hold-173101759.html;2024-10-30T17:31:01.000Z;Her visit to Reno comes just weeks after former President Donald Trump held a rally in the city.;2024-10-30 17:31:01
"""Martha"" presents a side of Martha Stewart we haven't seen before: hers, in her voice";https://news.yahoo.com/news/entertainment/martha-presents-side-martha-stewart-173006756.html;2024-10-30T17:30:06.000Z;Under R.J. Cutler's direction, the influential icon tells her story honestly, albeit with a high-sheen polish;2024-10-30 17:30:06
Dolphins’ McDaniel addresses Cracraft, Wynn, Sieler, more issues heading into Bills game;https://news.yahoo.com/news/sports/dolphins-mcdaniel-addresses-cracraft-wynn-172726375.html;2024-10-30T17:27:26.000Z;Dolphins’ McDaniel updates injury situation and other issues heading into Sunday’s Buffalo game.;2024-10-30 17:27:26
‘Refuse war’ of 2024: When politicians and comedians call people and places garbage | Opinion;https://news.yahoo.com/news/refuse-war-2024-politicians-comedians-172413597.html;2024-10-30T17:24:13.000Z;Offensive remarks by Biden and Trump supporters spark a debate over who’s the offended party. From David Mastio:;2024-10-30 17:24:13
Charlamagne tha God Calls Out CNN’s Trump Coverage: ‘Always’ Having the ‘Wrong Conversation’;https://news.yahoo.com/news/charlamagne-tha-god-calls-cnn-172347157.html;2024-10-30T17:23:47.000Z;Radio host Charlamagne tha God slammed CNN’s coverage of Donald Trump for centering the “wrong conversation” and choosing to “sprinkle some MAGA” in to boost revenue during a segment directly before his Tuesday phone interview with Kamala Harris. On his podcast The Breakfast Club, Charlamagne was criticizing the network’s coverage of Trump’s hate-laden Madison Square Garden rally, in which comedian Tony Hinchcliffe called Puerto Rico a “floating island of garbage.” “The first issue is what they;2024-10-30 17:23:47
‘The View’ Hosts Clash Over Biden’s ‘Garbage’ Comments;https://news.yahoo.com/news/entertainment/view-hosts-clash-over-biden-171935603.html;2024-10-30T17:19:35.000Z;When Meghan McCain departed The View a few years ago, the daytime talk show’s signature scream-fests disappeared right along with her. So it was something of a throwback on Wednesday when the hosts found themselves in legitimate disagreement over President Joe Biden’s potentially damaging comments in which he either called Trump supporters—or Trump‘s supporter’s rhetoric—“garbage,” depending on how his words are being received. Even the live audience at The View audibly groaned when the clip pla;2024-10-30 17:19:35
Ohio’s MAGA Senate Candidate Singles Out Another Town of Immigrants For Attack;https://news.yahoo.com/news/ohio-maga-senate-candidate-singles-171702137.html;2024-10-30T17:17:02.000Z;Republican Senate candidate Bernie Moreno has already been sued once for spreading conspiracy theories about Haitian immigrants in Springfield, Ohio, stealing and eating pets. Now, he’s singling out another group of immigrants in Ohio and leveling baseless attacks: Mauritanian asylum seekers in Lockland, a village north of Cincinnati. “What can you tell us about this small town that is being overrun by illegal migrants?” Fox News host Maria Bartiromo asked Moreno on Wednesday—even though the Mau;2024-10-30 17:17:02
Lincoln teen, 17, identified as victim in deadly Sacramento apartment shooting after party;https://news.yahoo.com/news/lincoln-teen-17-identified-victim-171409530.html;2024-10-30T17:14:09.000Z;The 17-year-old and a man were shot dead after a party late Sunday, say police. A girl, 17, was also wounded;2024-10-30 17:14:09
Trump Doubles Down After Elon’s Shocking “Tank the Economy” Confession;https://news.yahoo.com/news/elon-musk-admitted-trump-tank-170715136.html;2024-10-30T17:07:15.000Z;Donald Trump seems to have no concerns about Elon’s Musk’s recent admission.;2024-10-30 17:07:15
Lawmakers ‘Extremely’ Worried About Post-Election Violence;https://news.yahoo.com/news/lawmakers-extremely-worried-post-election-170008263.html;2024-10-30T17:00:08.000Z;A report revealed Wednesday there’s bipartisan concern amid U.S. lawmakers that next week’s election may incite another round of political chaos or violence in Washington. That Axios report, which cited more than a dozen representatives, comes on the heels of U.S. Capitol police ramping up security to an “unprecedented” level, as Rep. Greg Landsman (D-OH) explained it to the website. The added security protocols include the U.S. military and Capitol officers conducting a highly-visible “casualty;2024-10-30 17:00:08
VideoAmazing Time-Lapse Of Hurricane Francine Barrelling Towards Louisiana;https://www.yahoo.com/news/amazing-time-lapse-hurricane-francine-170000527.html;2024-10-30T17:00:00.000Z;NOAA's GOES-East satellite has captured footage of Tropical Storm Francine's formation over the Gulf of Mexico in this time-lapse that spanned over several days. Credit: Space.com | CIRA/NOAA | edited by Steve Spaleta Music: Falling Clouds by Trevor Kowalski / courtesy of Epidemic Sound;2024-10-30 17:00:00
“Hate”: Martha Stewart trashes Netflix’s new “Martha” documentary;https://news.yahoo.com/news/entertainment/hate-martha-stewart-trashes-netflix-165916401.html;2024-10-30T16:59:16.000Z;"Stewart has called the film ""lazy"" and ""not the story that makes me, me""";2024-10-30 16:59:16
China's warplanes have all but erased the dividing line in the Taiwan Strait, creating a dangerous new normal;https://news.yahoo.com/news/chinas-warplanes-erased-dividing-line-165641392.html;2024-10-30T16:56:41.000Z;China's warplanes continue to fly near Taiwan almost daily, forcing Taipei to exhaust its military in response.;2024-10-30 16:56:41
With Panthers in Finland, the team’s Finnish players are soaking in ‘really meaningful trip’;https://news.yahoo.com/news/sports/panthers-finland-team-finnish-players-165633902.html;2024-10-30T16:56:33.000Z;The Panthers will play the Dallas Stars in Tampere (Aleksander Barkov’s hometown) on Friday and Saturday.;2024-10-30 16:56:33
I tried 5 brands of instant coffee, and there's only one I'd never buy again;https://news.yahoo.com/news/tried-5-brands-instant-coffee-195706764.html;2024-10-30T16:54:44.000Z;I tried instant coffee from Maxwell House, Café Bustelo, Folgers, Chock Full o' Nuts, and Nescafé to find the top brand. Here's what I found.;2024-10-30 16:54:44
Trump Files First Election Lawsuit in Chilling Sign of What’s to Come;https://news.yahoo.com/news/trump-files-first-election-lawsuit-164955611.html;2024-10-30T16:49:55.000Z;The election fraud lawsuits have started again.;2024-10-30 16:49:55
Flash floods are a worsening scourge worldwide — here's why;https://news.yahoo.com/news/flash-floods-worsening-scourge-worldwide-164928075.html;2024-10-30T16:49:28.000Z;Dozens of people have been killed in the worst flooding to hit Spain in decades. The frequency of such flash flooding is set to increase globally.;2024-10-30 16:49:28
California magician died on Halloween after being buried alive. What went wrong?;https://news.yahoo.com/news/california-magician-died-halloween-being-164019998.html;2024-10-30T16:40:19.000Z;“This event was to be his springboard to fame,” the escape artist’s assistant said.;2024-10-30 16:40:19
A Russian court hit Google with a fine larger than the world's GDP, stretching credulity;https://news.yahoo.com/news/tech/russian-court-hit-google-fine-163724052.html;2024-10-30T16:37:24.000Z;At the current exchange rate, the fine is equivalent to around $20.6 decillion, or about $20,604,600,000,000,000,000,000,000,000,000,000.;2024-10-30 16:37:24
'Coming down': Trump vows to dismantle billboards pushing rights for illegal immigrants if he wins;https://news.yahoo.com/news/coming-down-trump-vows-dismantle-163434072.html;2024-10-30T16:34:34.000Z;Former President Donald Trump said on Tuesday he will end the use of billboards to advertise illegal immigrant rights to those in federal custody.;2024-10-30 16:34:34
Voter registration probes launched in crucial Keystone State counties amid claims of potential fraud;https://news.yahoo.com/news/voter-registration-probes-launched-crucial-163037503.html;2024-10-30T16:30:37.000Z;District attorneys and election officials in both York County and Lancaster County, Pennsylvania, are looking into suspicious voter registration materials they received just days ahead of Election Day.;2024-10-30 16:30:37
Boeing hikes soap dispenser prices by 8,000%, gouges Air Force with $1M overcharge on C-17 spare parts;https://news.yahoo.com/news/boeing-hikes-soap-dispenser-prices-162622996.html;2024-10-30T16:26:22.000Z;Boeing overcharged the Air Force for simple spare parts on C-17 aircrafts by $1 million from a period of 2018 to 2022, according to Pentagon Inspector General Robert Storch.;2024-10-30 16:26:22
Fire leaves CNG-powered big rig partially melted on 15 Freeway in San Bernardino County;https://news.yahoo.com/news/fire-leaves-cng-powered-big-162619033.html;2024-10-30T16:26:19.000Z;Much of a Compressed Natural Gas (CNG)-powered big rig melted after its tanks caught fire on the 15 Freeway in the Mountain Pass community in San Bernardino County Wednesday. Officers were called to the incident near Bailey Road near the California-Nevada border after both of the truck’s tanks caught fire, the California Highway Patrol posted […];2024-10-30 16:26:19
Kelly: This Dolphins season has been terrifying, but could get scarier | Opinion;https://news.yahoo.com/news/sports/kelly-dolphins-season-terrifying-could-162526457.html;2024-10-30T16:25:26.000Z;Trick or truth? A look at some of the Dolphins’ more pressing issues plaguing this franchise.;2024-10-30 16:25:26
JetBlue founder and low-cost airline veteran explains how struggling airlines need to adapt to survive right now;https://news.yahoo.com/news/jetblue-founder-low-cost-airline-162409074.html;2024-10-30T16:24:09.000Z;Low-cost guru David Neeleman, who has founded five budget carriers since 1984, told BI some airlines have failed to adapt to changing flyer expectations.;2024-10-30 16:24:09
Why FPL wants to increase your monthly bill in 2025. Take a look at the higher rates;https://news.yahoo.com/news/finance/news/why-fpl-wants-increase-monthly-162407868.html;2024-10-30T16:24:07.000Z;The request has to be approved by the Florida Public Service Commission.;2024-10-30 16:24:07
6-Foot-1 Beauty Queen Accuses Trump of ‘Grabbing Her Body Everywhere’;https://news.yahoo.com/news/6-foot-1-beauty-queen-161818870.html;2024-10-30T16:18:18.000Z;Yet another woman has come forward to accuse Donald Trump of groping her, bringing the total number of sexual misconduct allegations against the GOP candidate up to 28. Speaking to The Daily Mail, Swiss former beauty pageant contestant Beatrice Keul said that Trump “jumped” on her when she met him in 1993. Keul was runner-up in Miss Switzerland and participated in Miss Europe in 1992, she told the Mail, which evidently put her on Trump’s radar. The businessman offered her an all-expenses-paid tr;2024-10-30 16:18:18
Dropbox lays off 20% of employees and joins Big Tech's flattening trend. Read CEO Drew Houston's memo.;https://news.yahoo.com/news/tech/dropbox-lays-off-20-employees-161726414.html;2024-10-30T17:54:44.000Z;"Dropbox's CEO cited external factors and ""excess layers of management slowing us down"" when announcing the layoffs.";2024-10-30 17:54:44
'We can't let up': How GOP, Dem senators are using 2024 campaign trail to lobby for conference influence;https://news.yahoo.com/news/cant-let-gop-dem-senators-161648716.html;2024-10-30T16:16:48.000Z;Out-of-cycle senators are still hitting the campaign trail, not only to help their party, but to build relationships and establish influence.;2024-10-30 16:16:48
Arnold Schwarzenegger endorses Harris-Walz: ‘Turn the page and put this junk behind us’;https://news.yahoo.com/news/arnold-schwarzenegger-endorses-harris-walz-161637808.html;2024-10-30T16:16:37.000Z;Arnold Schwarzenegger revealed who he’s voting for in the 2024 presidential election. “I don’t really do endorsements. I’m not shy about sharing my views, but I hate politics and don’t trust most politicians,” he explained on X, formerly Twitter, on Wednesday morning. The actor explained that he understood people wanted to hear from him because […];2024-10-30 16:16:37
I split my year between Ireland and the US. From shopping to driving, the everyday differences in my life are striking.;https://news.yahoo.com/news/split-between-ireland-us-shopping-161601075.html;2024-10-30T16:16:01.000Z;I spend part of my year in Atlanta, Georgia, and the rest in Cork, Ireland. There are quite a few everyday differences in my life in both countries.;2024-10-30 16:16:01
Rand Paul hits 'Biden/Harris CDC' over COVID-19 vaccine guidance for 6-month-olds;https://news.yahoo.com/news/rand-paul-hits-biden-harris-161535980.html;2024-10-30T16:15:35.000Z;"Sen. Rand Paul pointed to CDC guidance on child COVID-19 vaccinations, suggesting that people are ""hesitant to believe"" the agency's recommendations.";2024-10-30 16:15:35
Harris-Trump showdown: In nation's biggest battleground, new polls show 'it's really, really close';https://news.yahoo.com/news/harris-trump-showdown-nations-biggest-161529315.html;2024-10-30T18:19:15.000Z;A new poll is the latest in Pennsylvania to show an incredibly close race between Vice President Kamala Harris and former President Donald Trump in the biggest of the battleground states in the 2024 election.;2024-10-30 18:19:15
The world is “miles short” of its target to limit climate change, UN reports;https://news.yahoo.com/news/world-miles-short-target-limit-161207236.html;2024-10-30T16:12:07.000Z;The goal is 43% reduction in carbon emissions by 2030 — but we are currently at under 3%;2024-10-30 16:12:07
How one annual college football game has shaped South Florida | Opinion;https://news.yahoo.com/news/sports/one-annual-college-football-game-160938512.html;2024-10-30T16:09:38.000Z;"The Orange Bowl is more than just a football game; it’s a cornerstone of our community | Opinion";2024-10-30 16:09:38
Harris Distances Herself From Biden’s ‘Garbage’ Remark;https://news.yahoo.com/news/harris-distances-herself-biden-garbage-160924871.html;2024-10-30T16:09:24.000Z;Vice President Kamala Harris was quick to distance herself Wednesday from comments made by President Joe Biden that appeared to liken supporters of her Republican opponent, former president Donald Trump, to “garbage.” “I strongly disagree with any criticism of people based on who they vote for,” Harris said, in a statement to reporters. “You heard my speech last night. I believe the work that I do is about representing all the people, whether they support me or not. I will be a President for all;2024-10-30 16:09:24
Ex-Republican Candidate Has Bonkers Defense for Stealing Ballots;https://news.yahoo.com/news/ex-republican-candidate-bonkers-defense-160642569.html;2024-10-30T16:06:42.000Z;The failed candidate couldn’t even interfere in the election right.;2024-10-30 16:06:42
Saudia Arabia's new airline just announced a major Airbus order in the latest blow for Boeing;https://news.yahoo.com/news/saudia-arabias-airline-just-announced-160605649.html;2024-10-30T16:06:05.000Z;Riyadh Air announced an order for 60 Airbus A321neo jets, confounding speculation that the new Saudi airline was set to order Boeing 737 Max aircraft.;2024-10-30 16:06:05
